state,model,RMSE,MAE,MAPE,R2,RMSE_normalized,test_mean,naive_rmse,arima_rmse,improvement_vs_naive_%,improvement_vs_arima_%
Brandenburg,LightGBM,17713.18874334097,12236.006123789075,55.85958978581503,-0.8087384222782328,[3.00886508],[5887.],16419.783616113826,16419.783616113826,-7.877114324197539,-7.877114324197539
Bremen,LightGBM,7008.412304094606,5175.559287337668,52.66957114351592,-1.2055377104195877,[2.01971536],[3470.],6603.997804360628,6603.997804360628,-6.1237830737457655,-6.1237830737457655
Hamburg,LightGBM,14952.766662277147,8983.534649017403,28.239040392130086,-0.24844051693633684,[1.78178821],[8392.],19270.064556197,19270.064556197,22.404169333887715,22.404169333887715
Hessen,LightGBM,29314.689085721537,23832.739190986555,63.39979726465617,0.3837107718516155,[1.16457529],[25172.],42588.55543687764,42588.55543687764,31.167683935253176,31.167683935253176
Mecklenburg-Vorpommern,LightGBM,10619.362724958257,7105.7020252333805,45.973168837814214,-0.5603996366142405,[2.69869447],[3935.],10935.270321304362,10935.270321304362,2.888886941648315,2.888886941648315
Niedersachsen,LightGBM,46366.53031628628,34580.25045303958,64.67867790831201,-0.0498484986941794,[1.85971965],[24932.],51909.96586398415,51909.96586398415,10.67894277222784,10.67894277222784
Nordrhein-Westfalen,LightGBM,105812.6270460291,87938.67182506168,82.99440687361354,-0.2686763806906469,[2.60224846],[40662.],112212.58757911253,112212.58757911253,5.703424786075187,5.703424786075187
Rheinland-Pfalz,LightGBM,27669.459647945634,20230.76839019724,50.75315027122117,-0.9435688305863985,[1.70462418],[16232.],24116.467668379628,24116.467668379628,-14.732638412981688,-14.732638412981688
Saarland,LightGBM,6911.494500751172,4733.443066208538,40.60826651431462,-0.6064831049656976,[1.82457616],[3788.],7399.93202671484,7399.93202671484,6.600567737654023,6.600567737654023
Sachsen,LightGBM,28631.809577204207,19512.475237713363,46.39275218827453,-0.4674948125662661,[3.02342234],[9470.],30500.15427829833,30500.15427829833,6.125689345851934,6.125689345851934
Sachsen-Anhalt,LightGBM,18276.040923923632,13093.286728980751,61.94167050830047,-1.2107986874427858,[3.47585411],[5258.],16745.30355651996,19587.093734919294,-9.141293630402195,6.693452478140516
Schleswig-Holstein,LightGBM,16251.674857595013,11725.231479302794,52.16274249662838,-0.7289578185199095,[1.90256086],[8542.],15002.286032468519,15002.286032468519,-8.327989630530437,-8.327989630530437
Thüringen,LightGBM,17350.213915604647,12553.65895238574,59.582231060619975,-0.9852552800264789,[3.21121857],[5403.],15562.72884169097,14663.984083926669,-11.485678971191641,-18.318553923025462
